Hendelse,Tid,Varighet
Soloppgang,2023-12-01 09:19:39, 
Solnedgang,2023-12-01 15:31:49, 
Borgerlig tussmørke,2023-12-01 16:32:25,1:00:36
Nautisk tussmørke,2023-12-01 17:27:01,0:54:36
Astronomisk tussmørke,2023-12-01 18:18:29,0:51:28
